StartTime,EndTime,WindPowerGeneration
06/02/2023 10:00,06/02/2023 11:00,970
06/02/2023 11:00,06/02/2023 12:00,695
06/02/2023 12:00,06/02/2023 13:00,490
06/02/2023 13:00,06/02/2023 14:00,303
06/02/2023 14:00,06/02/2023 15:00,535
06/02/2023 15:00,06/02/2023 16:00,917
06/02/2023 16:00,06/02/2023 17:00,1698
06/02/2023 17:00,06/02/2023 18:00,2429
06/02/2023 18:00,06/02/2023 19:00,2951
06/02/2023 19:00,06/02/2023 20:00,3210
06/02/2023 20:00,06/02/2023 21:00,3365
06/02/2023 21:00,06/02/2023 22:00,3516
06/02/2023 22:00,06/02/2023 23:00,3638
06/02/2023 23:00,07/02/2023 00:00,3766
07/02/2023 00:00,07/02/2023 01:00,3760
07/02/2023 01:00,07/02/2023 02:00,3738
07/02/2023 02:00,07/02/2023 03:00,3666
07/02/2023 03:00,07/02/2023 04:00,3685
07/02/2023 04:00,07/02/2023 05:00,3692
07/02/2023 05:00,07/02/2023 06:00,3647
07/02/2023 06:00,07/02/2023 07:00,3602
07/02/2023 07:00,07/02/2023 08:00,3575
07/02/2023 08:00,07/02/2023 09:00,3605
07/02/2023 09:00,07/02/2023 10:00,3599
07/02/2023 10:00,07/02/2023 11:00,3534
07/02/2023 11:00,07/02/2023 12:00,3576
07/02/2023 12:00,07/02/2023 13:00,3695
07/02/2023 13:00,07/02/2023 14:00,3786
07/02/2023 14:00,07/02/2023 15:00,3892
07/02/2023 15:00,07/02/2023 16:00,3812
07/02/2023 16:00,07/02/2023 17:00,3639
07/02/2023 17:00,07/02/2023 18:00,3576
07/02/2023 18:00,07/02/2023 19:00,3526
07/02/2023 19:00,07/02/2023 20:00,3282
07/02/2023 20:00,07/02/2023 21:00,2862
07/02/2023 21:00,07/02/2023 22:00,2434
07/02/2023 22:00,07/02/2023 23:00,1967
07/02/2023 23:00,08/02/2023 00:00,1681
08/02/2023 00:00,08/02/2023 01:00,1467
08/02/2023 01:00,08/02/2023 02:00,1299
08/02/2023 02:00,08/02/2023 03:00,1121
08/02/2023 03:00,08/02/2023 04:00,988
08/02/2023 04:00,08/02/2023 05:00,922
08/02/2023 05:00,08/02/2023 06:00,807
08/02/2023 06:00,08/02/2023 07:00,815
08/02/2023 07:00,08/02/2023 08:00,914
08/02/2023 08:00,08/02/2023 09:00,1080
08/02/2023 09:00,08/02/2023 10:00,1224
08/02/2023 10:00,08/02/2023 11:00,1532
08/02/2023 11:00,08/02/2023 12:00,1801
08/02/2023 12:00,08/02/2023 13:00,2061
08/02/2023 13:00,08/02/2023 14:00,2302
08/02/2023 14:00,08/02/2023 15:00,2667
08/02/2023 15:00,08/02/2023 16:00,3273
08/02/2023 16:00,08/02/2023 17:00,3831
08/02/2023 17:00,08/02/2023 18:00,4103
08/02/2023 18:00,08/02/2023 19:00,4371
08/02/2023 19:00,08/02/2023 20:00,4530
08/02/2023 20:00,08/02/2023 21:00,4638
08/02/2023 21:00,08/02/2023 22:00,4712
08/02/2023 22:00,08/02/2023 23:00,4734
08/02/2023 23:00,09/02/2023 00:00,4729
09/02/2023 00:00,09/02/2023 01:00,4675
09/02/2023 01:00,09/02/2023 02:00,4692
09/02/2023 02:00,09/02/2023 03:00,4635
09/02/2023 03:00,09/02/2023 04:00,4616
09/02/2023 04:00,09/02/2023 05:00,4528
09/02/2023 05:00,09/02/2023 06:00,4473
09/02/2023 06:00,09/02/2023 07:00,4389
09/02/2023 07:00,09/02/2023 08:00,4320
09/02/2023 08:00,09/02/2023 09:00,4430
09/02/2023 09:00,09/02/2023 10:00,4470
09/02/2023 10:00,09/02/2023 11:00,4430
09/02/2023 11:00,09/02/2023 12:00,4420
09/02/2023 12:00,09/02/2023 13:00,4434
09/02/2023 13:00,09/02/2023 14:00,4429
09/02/2023 14:00,09/02/2023 15:00,4420
09/02/2023 15:00,09/02/2023 16:00,4457
09/02/2023 16:00,09/02/2023 17:00,4424
09/02/2023 17:00,09/02/2023 18:00,4461
09/02/2023 18:00,09/02/2023 19:00,4525
09/02/2023 19:00,09/02/2023 20:00,4502
09/02/2023 20:00,09/02/2023 21:00,4455
09/02/2023 21:00,09/02/2023 22:00,4421
09/02/2023 22:00,09/02/2023 23:00,4362
09/02/2023 23:00,10/02/2023 00:00,4273
10/02/2023 00:00,10/02/2023 01:00,4090
10/02/2023 01:00,10/02/2023 02:00,3838
10/02/2023 02:00,10/02/2023 03:00,3424
10/02/2023 03:00,10/02/2023 04:00,3043
10/02/2023 04:00,10/02/2023 05:00,2289
10/02/2023 05:00,10/02/2023 06:00,2233
10/02/2023 06:00,10/02/2023 07:00,2423
10/02/2023 07:00,10/02/2023 08:00,2404
10/02/2023 08:00,10/02/2023 09:00,2404
10/02/2023 09:00,10/02/2023 10:00,2476
10/02/2023 10:00,10/02/2023 11:00,2317
10/02/2023 11:00,10/02/2023 12:00,2890
10/02/2023 12:00,10/02/2023 13:00,3425
10/02/2023 13:00,10/02/2023 14:00,3996
10/02/2023 14:00,10/02/2023 15:00,4164
10/02/2023 15:00,10/02/2023 16:00,4132
10/02/2023 16:00,10/02/2023 17:00,4158
10/02/2023 17:00,10/02/2023 18:00,4156
10/02/2023 18:00,10/02/2023 19:00,4143
10/02/2023 19:00,10/02/2023 20:00,4127
10/02/2023 20:00,10/02/2023 21:00,4125
10/02/2023 21:00,10/02/2023 22:00,3951
10/02/2023 22:00,10/02/2023 23:00,3710
10/02/2023 23:00,11/02/2023 00:00,3569
11/02/2023 00:00,11/02/2023 01:00,3192
11/02/2023 01:00,11/02/2023 02:00,2844
11/02/2023 02:00,11/02/2023 03:00,2458
11/02/2023 03:00,11/02/2023 04:00,2249
11/02/2023 04:00,11/02/2023 05:00,2094
11/02/2023 05:00,11/02/2023 06:00,1944
11/02/2023 06:00,11/02/2023 07:00,1829
11/02/2023 07:00,11/02/2023 08:00,1965
11/02/2023 08:00,11/02/2023 09:00,2153
11/02/2023 09:00,11/02/2023 10:00,2380
11/02/2023 10:00,11/02/2023 11:00,2432
11/02/2023 11:00,11/02/2023 12:00,2319
11/02/2023 12:00,11/02/2023 13:00,2100
11/02/2023 13:00,11/02/2023 14:00,1755
11/02/2023 14:00,11/02/2023 15:00,1771
11/02/2023 15:00,11/02/2023 16:00,1862
11/02/2023 16:00,11/02/2023 17:00,1855
11/02/2023 17:00,11/02/2023 18:00,2218
11/02/2023 18:00,11/02/2023 19:00,2878
11/02/2023 19:00,11/02/2023 20:00,3412
11/02/2023 20:00,11/02/2023 21:00,3591
11/02/2023 21:00,11/02/2023 22:00,3506
11/02/2023 22:00,11/02/2023 23:00,3247
11/02/2023 23:00,12/02/2023 00:00,2929
12/02/2023 00:00,12/02/2023 01:00,2819
12/02/2023 01:00,12/02/2023 02:00,2546
12/02/2023 02:00,12/02/2023 03:00,2404
12/02/2023 03:00,12/02/2023 04:00,2343
12/02/2023 04:00,12/02/2023 05:00,2396
12/02/2023 05:00,12/02/2023 06:00,2443
