StartTime,EndTime,SolarPowerGeneration
06/04/2023 07:00,06/04/2023 08:00,37.3
06/04/2023 08:00,06/04/2023 09:00,107.3
06/04/2023 09:00,06/04/2023 10:00,186.3
06/04/2023 10:00,06/04/2023 11:00,244.5
06/04/2023 11:00,06/04/2023 12:00,313.8
06/04/2023 12:00,06/04/2023 13:00,347.5
06/04/2023 13:00,06/04/2023 14:00,369.8
06/04/2023 14:00,06/04/2023 15:00,317.1
06/04/2023 15:00,06/04/2023 16:00,279.7
06/04/2023 16:00,06/04/2023 17:00,240.7
06/04/2023 17:00,06/04/2023 18:00,172.5
06/04/2023 18:00,06/04/2023 19:00,104
06/04/2023 19:00,06/04/2023 20:00,26.6
06/04/2023 20:00,06/04/2023 21:00,0
06/04/2023 21:00,06/04/2023 22:00,0
06/04/2023 22:00,06/04/2023 23:00,0
06/04/2023 23:00,07/04/2023 00:00,0
07/04/2023 00:00,07/04/2023 01:00,0
07/04/2023 01:00,07/04/2023 02:00,0
07/04/2023 02:00,07/04/2023 03:00,0
07/04/2023 03:00,07/04/2023 04:00,0
07/04/2023 04:00,07/04/2023 05:00,0
07/04/2023 05:00,07/04/2023 06:00,0
07/04/2023 06:00,07/04/2023 07:00,0
07/04/2023 07:00,07/04/2023 08:00,47.6
07/04/2023 08:00,07/04/2023 09:00,127.4
07/04/2023 09:00,07/04/2023 10:00,204.1
07/04/2023 10:00,07/04/2023 11:00,277.9
07/04/2023 11:00,07/04/2023 12:00,339.4
07/04/2023 12:00,07/04/2023 13:00,381.1
07/04/2023 13:00,07/04/2023 14:00,389.3
07/04/2023 14:00,07/04/2023 15:00,363.7
07/04/2023 15:00,07/04/2023 16:00,327.5
07/04/2023 16:00,07/04/2023 17:00,262.8
07/04/2023 17:00,07/04/2023 18:00,188
07/04/2023 18:00,07/04/2023 19:00,107.3
07/04/2023 19:00,07/04/2023 20:00,29.4
07/04/2023 20:00,07/04/2023 21:00,0
07/04/2023 21:00,07/04/2023 22:00,0
07/04/2023 22:00,07/04/2023 23:00,0
07/04/2023 23:00,08/04/2023 00:00,0
08/04/2023 00:00,08/04/2023 01:00,0
08/04/2023 01:00,08/04/2023 02:00,0
08/04/2023 02:00,08/04/2023 03:00,0
08/04/2023 03:00,08/04/2023 04:00,0
08/04/2023 04:00,08/04/2023 05:00,0
08/04/2023 05:00,08/04/2023 06:00,0
08/04/2023 06:00,08/04/2023 07:00,0
08/04/2023 07:00,08/04/2023 08:00,54.3
08/04/2023 08:00,08/04/2023 09:00,139.6
08/04/2023 09:00,08/04/2023 10:00,220.6
08/04/2023 10:00,08/04/2023 11:00,302.7
08/04/2023 11:00,08/04/2023 12:00,364.1
08/04/2023 12:00,08/04/2023 13:00,389.4
08/04/2023 13:00,08/04/2023 14:00,386.3
08/04/2023 14:00,08/04/2023 15:00,359.3
08/04/2023 15:00,08/04/2023 16:00,325.7
08/04/2023 16:00,08/04/2023 17:00,241.1
08/04/2023 17:00,08/04/2023 18:00,169.9
08/04/2023 18:00,08/04/2023 19:00,95.9
08/04/2023 19:00,08/04/2023 20:00,29.8
08/04/2023 20:00,08/04/2023 21:00,0
08/04/2023 21:00,08/04/2023 22:00,0
08/04/2023 22:00,08/04/2023 23:00,0
08/04/2023 23:00,09/04/2023 00:00,0
09/04/2023 00:00,09/04/2023 01:00,0
09/04/2023 01:00,09/04/2023 02:00,0
09/04/2023 02:00,09/04/2023 03:00,0
09/04/2023 03:00,09/04/2023 04:00,0
09/04/2023 04:00,09/04/2023 05:00,0
09/04/2023 05:00,09/04/2023 06:00,0
09/04/2023 06:00,09/04/2023 07:00,0.1
09/04/2023 07:00,09/04/2023 08:00,58.7
09/04/2023 08:00,09/04/2023 09:00,145.7
09/04/2023 09:00,09/04/2023 10:00,224.7
09/04/2023 10:00,09/04/2023 11:00,302.4
09/04/2023 11:00,09/04/2023 12:00,369.2
09/04/2023 12:00,09/04/2023 13:00,395.8
09/04/2023 13:00,09/04/2023 14:00,392.1
09/04/2023 14:00,09/04/2023 15:00,338.3
09/04/2023 15:00,09/04/2023 16:00,295.8
09/04/2023 16:00,09/04/2023 17:00,234.4
09/04/2023 17:00,09/04/2023 18:00,165.9
09/04/2023 18:00,09/04/2023 19:00,97.9
09/04/2023 19:00,09/04/2023 20:00,29.9
09/04/2023 20:00,09/04/2023 21:00,0
09/04/2023 21:00,09/04/2023 22:00,0
09/04/2023 22:00,09/04/2023 23:00,0
09/04/2023 23:00,10/04/2023 00:00,0
10/04/2023 00:00,10/04/2023 01:00,0
10/04/2023 01:00,10/04/2023 02:00,0
10/04/2023 02:00,10/04/2023 03:00,0
10/04/2023 03:00,10/04/2023 04:00,0
10/04/2023 04:00,10/04/2023 05:00,0
10/04/2023 05:00,10/04/2023 06:00,0
10/04/2023 06:00,10/04/2023 07:00,1.2
10/04/2023 07:00,10/04/2023 08:00,62.6
10/04/2023 08:00,10/04/2023 09:00,149
10/04/2023 09:00,10/04/2023 10:00,231.6
10/04/2023 10:00,10/04/2023 11:00,307
10/04/2023 11:00,10/04/2023 12:00,386.2
10/04/2023 12:00,10/04/2023 13:00,419.8
10/04/2023 13:00,10/04/2023 14:00,415.3
10/04/2023 14:00,10/04/2023 15:00,381.9
10/04/2023 15:00,10/04/2023 16:00,336.7
10/04/2023 16:00,10/04/2023 17:00,260.9
10/04/2023 17:00,10/04/2023 18:00,184.9
10/04/2023 18:00,10/04/2023 19:00,109.9
10/04/2023 19:00,10/04/2023 20:00,36.3
10/04/2023 20:00,10/04/2023 21:00,0
10/04/2023 21:00,10/04/2023 22:00,0
10/04/2023 22:00,10/04/2023 23:00,0
10/04/2023 23:00,11/04/2023 00:00,0
11/04/2023 00:00,11/04/2023 01:00,0
11/04/2023 01:00,11/04/2023 02:00,0
11/04/2023 02:00,11/04/2023 03:00,0
11/04/2023 03:00,11/04/2023 04:00,0
11/04/2023 04:00,11/04/2023 05:00,0
11/04/2023 05:00,11/04/2023 06:00,0
11/04/2023 06:00,11/04/2023 07:00,1
11/04/2023 07:00,11/04/2023 08:00,46.1
11/04/2023 08:00,11/04/2023 09:00,103.4
11/04/2023 09:00,11/04/2023 10:00,160.2
11/04/2023 10:00,11/04/2023 11:00,225.4
11/04/2023 11:00,11/04/2023 12:00,325.2
11/04/2023 12:00,11/04/2023 13:00,338.2
11/04/2023 13:00,11/04/2023 14:00,348.1
11/04/2023 14:00,11/04/2023 15:00,284
11/04/2023 15:00,11/04/2023 16:00,255.4
11/04/2023 16:00,11/04/2023 17:00,210.4
11/04/2023 17:00,11/04/2023 18:00,152.6
11/04/2023 18:00,11/04/2023 19:00,91.4
11/04/2023 19:00,11/04/2023 20:00,34.6
11/04/2023 20:00,11/04/2023 21:00,0
11/04/2023 21:00,11/04/2023 22:00,0
11/04/2023 22:00,11/04/2023 23:00,0
11/04/2023 23:00,12/04/2023 00:00,0
12/04/2023 00:00,12/04/2023 01:00,0
12/04/2023 01:00,12/04/2023 02:00,0
12/04/2023 02:00,12/04/2023 03:00,0
12/04/2023 03:00,12/04/2023 04:00,0
12/04/2023 04:00,12/04/2023 05:00,0
12/04/2023 05:00,12/04/2023 06:00,0
12/04/2023 06:00,12/04/2023 07:00,1.6
12/04/2023 07:00,12/04/2023 08:00,49.3
12/04/2023 08:00,12/04/2023 09:00,113.7
12/04/2023 09:00,12/04/2023 10:00,177.7
12/04/2023 10:00,12/04/2023 11:00,266.6
12/04/2023 11:00,12/04/2023 12:00,362.5
12/04/2023 12:00,12/04/2023 13:00,394.1
12/04/2023 13:00,12/04/2023 14:00,404.8
12/04/2023 14:00,12/04/2023 15:00,368.9
12/04/2023 15:00,12/04/2023 16:00,326.1
12/04/2023 16:00,12/04/2023 17:00,255.6
12/04/2023 17:00,12/04/2023 18:00,174.7
12/04/2023 18:00,12/04/2023 19:00,106.4
12/04/2023 19:00,12/04/2023 20:00,43.7
12/04/2023 20:00,12/04/2023 21:00,0
12/04/2023 21:00,12/04/2023 22:00,0
12/04/2023 22:00,12/04/2023 23:00,0
12/04/2023 23:00,13/04/2023 00:00,0
13/04/2023 00:00,13/04/2023 01:00,0
13/04/2023 01:00,13/04/2023 02:00,0
13/04/2023 02:00,13/04/2023 03:00,0
13/04/2023 03:00,13/04/2023 04:00,0
13/04/2023 04:00,13/04/2023 05:00,0
13/04/2023 05:00,13/04/2023 06:00,0
13/04/2023 06:00,13/04/2023 07:00,3.6
13/04/2023 07:00,13/04/2023 08:00,55.3
13/04/2023 08:00,13/04/2023 09:00,111.2
13/04/2023 09:00,13/04/2023 10:00,164.5
13/04/2023 10:00,13/04/2023 11:00,210.7
13/04/2023 11:00,13/04/2023 12:00,309.4
13/04/2023 12:00,13/04/2023 13:00,319.4
13/04/2023 13:00,13/04/2023 14:00,322.7
13/04/2023 14:00,13/04/2023 15:00,240.3
13/04/2023 15:00,13/04/2023 16:00,245.7
13/04/2023 16:00,13/04/2023 17:00,199.5
13/04/2023 17:00,13/04/2023 18:00,146.3
13/04/2023 18:00,13/04/2023 19:00,94.8
13/04/2023 19:00,13/04/2023 20:00,39.8
13/04/2023 20:00,13/04/2023 21:00,0
13/04/2023 21:00,13/04/2023 22:00,0
13/04/2023 22:00,13/04/2023 23:00,0
13/04/2023 23:00,14/04/2023 00:00,0
14/04/2023 00:00,14/04/2023 01:00,0
14/04/2023 01:00,14/04/2023 02:00,0
14/04/2023 02:00,14/04/2023 03:00,0
14/04/2023 03:00,14/04/2023 04:00,0
14/04/2023 04:00,14/04/2023 05:00,0
14/04/2023 05:00,14/04/2023 06:00,0
14/04/2023 06:00,14/04/2023 07:00,6.1
14/04/2023 07:00,14/04/2023 08:00,74.4
14/04/2023 08:00,14/04/2023 09:00,161.3
