StartTime,EndTime,WindPowerGeneration
06/04/2023 10:00,06/04/2023 11:00,323
06/04/2023 11:00,06/04/2023 12:00,401
06/04/2023 12:00,06/04/2023 13:00,597
06/04/2023 13:00,06/04/2023 14:00,668
06/04/2023 14:00,06/04/2023 15:00,636
06/04/2023 15:00,06/04/2023 16:00,565
06/04/2023 16:00,06/04/2023 17:00,533
06/04/2023 17:00,06/04/2023 18:00,580
06/04/2023 18:00,06/04/2023 19:00,756
06/04/2023 19:00,06/04/2023 20:00,1169
06/04/2023 20:00,06/04/2023 21:00,2012
06/04/2023 21:00,06/04/2023 22:00,3024
06/04/2023 22:00,06/04/2023 23:00,3725
06/04/2023 23:00,07/04/2023 00:00,4222
07/04/2023 00:00,07/04/2023 01:00,4147
07/04/2023 01:00,07/04/2023 02:00,3943
07/04/2023 02:00,07/04/2023 03:00,3801
07/04/2023 03:00,07/04/2023 04:00,3745
07/04/2023 04:00,07/04/2023 05:00,3637
07/04/2023 05:00,07/04/2023 06:00,3538
07/04/2023 06:00,07/04/2023 07:00,3250
07/04/2023 07:00,07/04/2023 08:00,2806
07/04/2023 08:00,07/04/2023 09:00,1929
07/04/2023 09:00,07/04/2023 10:00,889
07/04/2023 10:00,07/04/2023 11:00,498
07/04/2023 11:00,07/04/2023 12:00,611
07/04/2023 12:00,07/04/2023 13:00,958
07/04/2023 13:00,07/04/2023 14:00,1159
07/04/2023 14:00,07/04/2023 15:00,1263
07/04/2023 15:00,07/04/2023 16:00,1323
07/04/2023 16:00,07/04/2023 17:00,1160
07/04/2023 17:00,07/04/2023 18:00,1141
07/04/2023 18:00,07/04/2023 19:00,1301
07/04/2023 19:00,07/04/2023 20:00,1313
07/04/2023 20:00,07/04/2023 21:00,1428
07/04/2023 21:00,07/04/2023 22:00,1457
07/04/2023 22:00,07/04/2023 23:00,1507
07/04/2023 23:00,08/04/2023 00:00,1579
08/04/2023 00:00,08/04/2023 01:00,1520
08/04/2023 01:00,08/04/2023 02:00,1441
08/04/2023 02:00,08/04/2023 03:00,1152
08/04/2023 03:00,08/04/2023 04:00,1067
08/04/2023 04:00,08/04/2023 05:00,867
08/04/2023 05:00,08/04/2023 06:00,693
08/04/2023 06:00,08/04/2023 07:00,620
08/04/2023 07:00,08/04/2023 08:00,537
08/04/2023 08:00,08/04/2023 09:00,672
08/04/2023 09:00,08/04/2023 10:00,586
08/04/2023 10:00,08/04/2023 11:00,330
08/04/2023 11:00,08/04/2023 12:00,290
08/04/2023 12:00,08/04/2023 13:00,297
08/04/2023 13:00,08/04/2023 14:00,274
08/04/2023 14:00,08/04/2023 15:00,281
08/04/2023 15:00,08/04/2023 16:00,290
08/04/2023 16:00,08/04/2023 17:00,291
08/04/2023 17:00,08/04/2023 18:00,238
